Concentration,Compound,Cytotoxicity
320.0,Co,11.86927707
640.0,Co,46.8298705
1280.0,Co,83.5765164
2560.0,Co,91.4509054
0.1,Ni,1.08e-34
5.0,Ni,4.24e-15
10.0,Ni,1.04e-11
20.0,Ni,2.04e-08
40.0,Ni,2.58e-05
80.0,Ni,0.014414993
160.0,Ni,1.951968108
320.0,Ni,33.52063377
640.0,Ni,79.45408992
1280.0,Ni,85.13475379
2560.0,Ni,85.16999874
0.1,Zn,1.64e-143
5.0,Zn,5.55e-59
10.0,Zn,1.4e-44
20.0,Zn,7.5300000000000015e-31
40.0,Zn,2.13e-18
80.0,Zn,3.11e-08
160.0,Zn,0.121722443
320.0,Zn,44.65085612
640.0,Zn,97.09618019
1280.0,Zn,98.28970745
2560.0,Zn,98.29
0.1,Cu.1,0.328544467
5.0,Cu.1,9.469558021
10.0,Cu.1,16.24440413
20.0,Cu.1,26.55204366
40.0,Cu.1,40.49468256
80.0,Cu.1,56.63039581
160.0,Cu.1,72.25227332
320.0,Cu.1,84.97107818
640.0,Cu.1,93.94449104
1280.0,Cu.1,99.65503265
2560.0,Cu.1,103.0541245
0.1,Cd,0.920483047
5.0,Cd,46.91943008
10.0,Cd,66.40731811
20.0,Cd,81.50440624
40.0,Cd,90.70011343
80.0,Cd,95.5055484
160.0,Cd,97.81675179
320.0,Cd,98.88392599
640.0,Cd,99.36739209
1280.0,Cd,99.5845283
2560.0,Cd,99.68166956
0.1,Mix3,1.16e-07
5.0,Mix3,0.000519311
10.0,Mix3,0.002301133
20.0,Mix3,0.010180209
40.0,Mix3,0.044892542
80.0,Mix3,0.196699428
160.0,Mix3,0.850902928
320.0,Mix3,3.588837569
640.0,Mix3,14.4020512
1280.0,Mix3,52.51658891
2560.0,Mix3,160.4501376
0.1,TEHP,3.632499154
5.0,TEHP,3.709109979
10.0,TEHP,3.788603718
20.0,TEHP,3.951650289
40.0,TEHP,4.294409921
80.0,TEHP,5.050063394
160.0,TEHP,6.869905842
320.0,TEHP,11.96553714
640.0,TEHP,29.51944986
1280.0,TEHP,98.16206314
2560.0,TEHP,290.2190287
0.1,TCPP,0.56383691
