compound,Fsp3,XLogP,MW,LipinskiFailures,nRotB,MLogP,nAtomP,nAtomLC,nB,nBase,nAtom,nAromBond,naAromAtom,ALogP,ALogp2,AMR,nAcid,nSmallRings,nAromRings,nRingBlocks,nAromBlocks,nRings6,tpsaEfficiency,Zagreb,WPATH,WPOL,WTPT.1,WTPT.2,WTPT.3,WTPT.4,VAdjMat,TopoPSA,topoShape,PetitjeanNumber,MDEC.11,MDEC.12,MDEC.13,MDEC.22,MDEC.23,MDEC.33,MDEC.34,MDEC.44,MDEO.11,MDEO.12,MDEO.22,khs.sCH3,khs.ssCH2,khs.aaCH,khs.sssCH,khs.dssC,khs.aasC,khs.ssssC,khs.sOH,khs.dO,khs.ssO,khs.sF,khs.dsssP,khs.ddssS,khs.sCl,khs.dssSe,Kier1,Kier2,fragC,FMF,ECCEN,SPC.4,SPC.5,SPC.6,VPC.4,VPC.5,VPC.6,SC.3,SC.4,SC.5,SC.6,VC.3,VC.4,VC.5,VC.6,SCH.6,SCH.7,VCH.6,VCH.7,C1SP2,C2SP2,C3SP2,C1SP3,C2SP3,C3SP3,ATSp1,ATSp2,ATSp3,ATSp4,ATSp5,ATSm1,ATSm2,ATSm3,ATSm4,ATSm5,nHBDon,nHBAcc,bpol,apol
Sb,0.0,0.333243534,0.294547522,0.0,0.0,0.233333333,0.0,0.0,0.038461538,0,0.012987013,0.0,0.0,0.323957468,0.017533396,0.136925717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,5.56E-10,0.0,0.035622488,0.385087935,0.118674768,0.0,0.153640129,0.0,0.000333889,0.166944908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.5,0,0.038461538,0.0,0.000186106,0.0,0.25705578,0.0,0.0,0.0,0.0,0.0,0.0,0.084087989,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.075774508,0.062557089,0.036464529,0.0,0.0,0.378927923,0.863678754,0.28091024,0.0,0.0,0,0.0,0.124325331,0.027528889
Co,0.0,0.262661638,0.00071707,0.0,0.0,0.266666667,0.0,0.0,0.0,0,0.0,0.0,0.0,0.278624707,0.00178226,0.087402124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.309072797,0.054086251,0.0,0.0,0.0,0.000333889,0.166944908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.333333333,0,0.0,0.036193029,0.0,0.0,0.257055779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.027547106,0.017967101,0.004789165,0.0,0.0,0.08733198,0.177522377,0.069796383,0.0,0.0,0,0.0,0.083847463,0.009732435
Ni,0.0,0.262661638,0.0,0.0,0.0,0.266666667,0.0,0.0,0.0,0,0.0,0.0,0.0,0.278624707,0.00178226,0.087402124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.309072797,0.054086251,0.0,0.0,0.0,0.000333889,0.166944908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.333333333,0,0.0,0.036193029,0.0,0.0,0.257055779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.027547106,0.017967101,0.004789165,0.0,0.0,0.086679562,0.176192049,0.069796383,0.0,0.0,0,0.0,0.062218068,0.0
Zn,0.0,0.0,0.095253307,0.0,0.0,0.166666667,0.217391304,0.0,0.076923077,0,0.038961039,0.0,0.0,0.0,0.043337109,0.058097793,1.0,0.0,0.0,0.0,0.0,0.0,0.98137579,0.093333333,0.555555557,0.0,0.089863448,0.216487898,0.205323719,0.438315144,0.262649535,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,1.0,0.0,0.0,0,1,0.0,0,0.245192308,0.048257373,0.002216686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.291289339,0.436934008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.086394221,0.07229644,0.083253361,0.0,0.0,0.095236172,0.011171392,0.093225047,0.0,0.0,0,0.571428571,0.049116834,0.028474325
Hg,1.0,0.251795977,0.363216111,0.0,0.0,0.333333333,0.0,0.0,0.0,0,0.038961039,0.0,0.0,0.271968558,0.0,0.08266307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.309072797,0.0,0.0,0.0,0.0,0.000333889,0.166944908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.166666667,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0,0,0.166666667,0,0.0,0.036193029,0.003130632,0.0,0.257055779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.021076426,0.013382651,0.003841735,0.0,0.0,0.911857427,0.595439329,0.0,0.0,0.0,0,0.0,0.085386564,0.006678939
PFOA,0.875,0.688667385,0.850490341,0.5,0.333333333,0.066666667,0.130434783,0.5,0.846153846,0,0.298701299,0.0,0.0,0.54344234,0.18289293,0.324591265,0.5,0.0,0.0,0.0,0.0,0.0,0.161502478,0.88,1.38E-07,0.869565217,0.800919323,0.636115243,0.881556726,0.229396737,0.941588734,0.420803249,0.000133556,0.074197737,0.0,0.0,0.0,0.0,0.0,0.0,0.974494675,0.830317942,0.166666667,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.875,1,0.5,0.0,0.882352941,0,0,0.0,0,0.846153846,0.267989276,0.00426385,0.0,0.257055919,0.87737134,0.86369557,0.853080358,0.864474746,0.847644401,0.8307724,0.890766498,0.890766498,0.87737134,0.87737134,0.268727132,0.871066379,0.860596596,0.856418333,0.0,0.0,0.0,0.0,1,0.0,0.0,0.083333333,0.5,0.0,0.377037243,0.445445987,0.628346513,0.693079616,0.577099882,0.112612199,0.227445584,0.880919947,0.871458884,0.852498932,1,0.285714286,0.229941776,0.188333652
PFNA,0.888888889,0.767780172,1.0,0.5,0.380952381,0.033333333,0.130434783,0.571428571,0.961538462,0,0.337662338,0.0,0.0,0.589335225,0.236137826,0.362264803,0.5,0.0,0.0,0.0,0.0,0.0,0.144099199,1.0,1.89E-07,1.0,0.910330755,0.641495076,1.0,0.229397232,0.986219457,0.420803249,0.000333889,0.166944908,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.166666667,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1.0,1,0.5,0.0,1.0,0,0,0.0,0,0.961538462,0.308580016,0.004820325,0.0,0.257055954,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.306663869,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.083333333,0.583333333,0.0,0.437138807,0.519540345,0.738617148,0.827099781,0.709589186,0.132642112,0.274429969,1.0,1.0,1.0,1,0.285714286,0.267113436,0.228292251
PFHxS,1.0,0.56878592,0.808775102,0.0,0.285714286,0.0,0.130434783,0.428571429,0.769230769,0,0.272727273,0.0,0.0,0.484283834,0.123783839,0.324011796,0.5,0.0,0.0,0.0,0.0,0.0,0.281227498,0.813333333,1.09E-07,0.782608696,0.72619192,0.625044823,0.896922004,0.340908806,0.908618106,0.707919675,0.000333889,0.166944908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.664860935,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.75,1,1.0,0.0,0.764705882,0,1,0.0,0,0.769230769,0.226206434,0.003895324,0.0,0.257055894,0.821612022,0.795522217,0.776992935,0.844241052,0.815686425,0.795742647,0.910279184,0.983101518,0.85840062,0.91971495,0.274660015,0.935688092,0.869213061,0.896837361,0.0,0.0,0.0,0.0,0,0.0,0.0,0.166666667,0.333333333,0.0,0.47478703,0.548969694,0.777351202,0.807567306,0.652787801,0.11894446,0.289637816,0.905199675,0.835594155,0.811344117,1,0.428571429,0.278020831,0.175375609
TnBP,1.0,0.46012931,0.408743755,0.5,0.571428571,0.6,0.217391304,0.571428571,0.538461538,0,0.532467532,0.0,0.0,0.527282742,0.165681692,0.557534465,0.0,0.0,0.0,0.0,0.0,0.0,0.367490921,0.413333333,6.8E-08,0.260869565,0.539040781,0.764223184,0.256232134,0.559822943,0.787948605,0.615636282,0.000333889,0.166944908,0.207758285,0.403807046,0.0,0.417376832,0.0,0.0,0.0,0.0,0.0,0.790569415,0.412891792,0.5,0.6,0.0,0.0,0,0.0,0.0,0,0.5,0.5,0.0,1,0,0.0,0,0.538461538,0.530831099,0.290218204,0.0,0.257055879,0.070421233,0.08050705,0.05037055,0.120426012,0.162848477,0.15228558,0.134980085,0.1544795,0.0,0.0,0.041765595,0.134609347,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.5,0.5,0.0,0.402475892,0.382381047,0.352457263,0.338449458,0.342399553,0.034777885,0.152361228,0.308056921,0.198140431,0.227366356,0,0.571428571,0.594650179,0.483860695
TPhP,0.0,0.432381466,0.588035982,0.0,0.285714286,0.8,1.0,0.571428571,0.884615385,0,0.454545455,0.0,0.0,0.394421158,0.054524141,0.816929849,0.0,1.0,1.0,1.0,1.0,1.0,0.299975069,0.733333333,1.33E-07,0.434782609,0.826105394,1.0,0.268102399,0.578728797,0.957057134,0.615636282,0.000333889,0.166944908,0.0,0.0,0.0,1.0,0.848572868,0.152651533,0.0,0.0,0.0,0.790569415,0.412891792,0.0,0.0,1.0,0.0,0,0.5,0.0,0,0.5,0.5,0.0,1,0,0.0,0,0.569661538,0.411284426,0.201219085,1.0,0.257055946,0.114997392,0.177700958,0.141342494,0.239593126,0.368223317,0.350118945,0.224168866,0.1544795,0.0,0.0,0.088437596,0.134609347,0.0,0.0,1.0,0.587708719,1.0,0.35002283,0,1.0,0.0,0.0,0.0,0.0,0.761966549,0.824268219,0.925041096,0.818693595,0.776697219,0.054794158,0.253922975,0.50185096,0.329628839,0.395203477,0,0.571428571,0.391975269,0.519432524
TCPP,1.0,0.426454741,0.591880826,0.0,0.428571429,0.4,0.217391304,0.428571429,0.538461538,0,0.415584416,0.0,0.0,0.447184907,0.092190005,0.554830009,0.0,0.0,0.0,0.0,0.0,0.0,0.30003945,0.453333333,5.93E-08,0.304347826,0.528804893,0.71225234,0.428073163,0.552543545,0.787948605,0.615636282,0.000333889,0.166944908,0.346263808,0.157377693,1.0,0.023205628,0.219919273,0.152651533,0.0,0.0,0.0,0.790569415,0.412891792,0.5,0.2,0.0,1.0,0,0.0,0.0,0,0.5,0.5,0.0,1,0,0.5,0,0.538461538,0.370793894,0.162529344,0.0,0.25705586,0.121218417,0.167032946,0.121939436,0.472313361,0.562743816,0.527375438,0.261112069,0.1544795,0.0,0.0,0.156088182,0.134609347,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.5,0.25,0.0,0.503823714,0.502499171,0.526058982,0.50082508,0.546008665,0.111970142,0.218436307,0.427408388,0.356759157,0.423853264,0,0.571428571,0.462110452,0.417942395
EHDPHP,0.4,0.621587644,0.696015785,1.0,0.523809524,0.866666667,0.739130435,0.714285714,0.923076923,0,0.636363636,0.0,0.0,0.596280772,0.244758611,0.877953233,0.0,0.666666667,0.666666667,0.666666667,0.666666667,0.666666667,0.270079084,0.746666667,1.77E-07,0.463768116,0.884064821,0.923181312,0.266046049,0.575453634,0.971918771,0.615636282,0.000333889,0.166944908,0.115421269,0.341018955,0.346412506,0.954904586,0.822332077,0.131551103,0.0,0.0,0.0,0.790569415,0.412891792,0.333333333,0.333333333,0.666666667,0.333333333,0,0.333333333,0.0,0,0.5,0.5,0.0,1,0,0.0,0,0.703914429,0.560543283,0.406672539,0.627272727,0.257055989,0.124311199,0.164958072,0.127732093,0.378796902,0.482244447,0.453887352,0.224168866,0.1544795,0.0,0.0,0.119552263,0.134609347,0.0,0.0,0.666666667,0.391805812,0.666666667,0.233348553,0,0.666666667,0.0,0.25,0.333333333,0.333333333,0.841188022,0.882584163,0.94946521,0.878651598,0.850048812,0.061466249,0.265207614,0.497827684,0.332751737,0.406569539,0,0.571428571,0.594650179,0.679621683
TBOEP,1.0,0.408943966,0.803861861,0.5,1.0,0.7,0.217391304,1.0,0.884615385,0,0.805194805,0.0,0.0,0.490622579,0.129604052,0.824917317,0.0,0.0,0.0,0.0,0.0,0.0,0.370239963,0.653333333,2.46E-07,0.391304348,0.891817687,0.818735274,0.478551146,1.0,0.957057134,0.928023466,0.000333889,0.166944908,0.129848928,0.430855658,0.0,0.822081904,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5,1.0,0.0,0.0,0,0.0,0.0,0,0.5,1.0,0.0,1,0,0.0,0,0.884615385,1.0,0.634611628,0.0,0.257056035,0.070421233,0.08050705,0.05037055,0.120426012,0.162848477,0.128607166,0.134980085,0.1544795,0.0,0.0,0.041765595,0.134609347,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0.5,0.0,0.644484093,0.614452765,0.553187888,0.526293914,0.52455625,0.072553287,0.276408203,0.441231107,0.282103325,0.334282567,0,1.0,0.886129206,0.775382119
TDCPP,1.0,0.518588362,0.900825805,0.5,0.571428571,0.3,0.217391304,0.428571429,0.653846154,0,0.415584416,0.0,0.0,0.535796637,0.174649873,0.666090426,0.0,0.0,0.0,0.0,0.0,0.0,0.228597306,0.533333333,9.13E-08,0.391304348,0.646884016,0.745770856,0.616160527,0.562719596,0.853066651,0.615636282,0.000333889,0.166944908,0.0,0.0,0.0,0.144539844,0.439838546,0.152651533,0.0,0.0,0.0,0.790569415,0.412891792,0.0,0.4,0.0,1.0,0,0.0,0.0,0,0.5,0.5,0.0,1,0,1.0,0,0.653846154,0.507833445,0.142634448,0.0,0.257055879,0.132593107,0.172672009,0.135409502,0.52889598,0.742751523,0.614066736,0.224168866,0.1544795,0.0,0.0,0.122603872,0.134609347,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.5,0.25,0.0,0.721527281,0.730368503,0.766524576,0.786949413,0.840704989,0.199170537,0.318365301,0.534690025,0.509888993,0.840569379,0,0.571428571,0.43090818,0.481058922
TEHP,1.0,1.0,0.911975392,1.0,1.0,1.0,0.217391304,0.857142857,1.0,0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.225192925,0.773333333,2.84E-07,0.52173913,1.0,0.801379569,0.261933349,0.568903308,1.0,0.615636282,0.000333889,0.166944908,1.0,1.0,0.959691552,0.871457741,0.774705675,0.101767689,0.0,0.0,0.0,0.790569415,0.412891792,1.0,1.0,0.0,1.0,0,0.0,0.0,0,0.5,0.5,0.0,1,0,0.0,0,1.0,0.94520639,1.0,0.0,0.257056032,0.142938812,0.140327067,0.096233161,0.657204452,0.715296325,0.646017747,0.224168866,0.1544795,0.0,0.0,0.181781597,0.134609347,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.074810432,0.287776891,0.48978113,0.338997533,0.429301664,0,0.571428571,1.0,1.0
