"compound","Fsp3","XLogP","MW","LipinskiFailures","nRotB","MLogP","nAtomP","nAtomLC","nB","nBase","nAtom","nAromBond","naAromAtom","ALogP","ALogp2","AMR","nAcid","nSmallRings","nAromRings","nRingBlocks","nAromBlocks","nRings6","tpsaEfficiency","Zagreb","WPATH","WPOL","WTPT.1","WTPT.2","WTPT.3","WTPT.4","VAdjMat","TopoPSA","topoShape","PetitjeanNumber","MDEC.11","MDEC.12","MDEC.13","MDEC.22","MDEC.23","MDEC.33","MDEC.34","MDEC.44","MDEO.11","MDEO.12","MDEO.22","khs.sCH3","khs.ssCH2","khs.aaCH","khs.sssCH","khs.dssC","khs.aasC","khs.ssssC","khs.sOH","khs.dO","khs.ssO","khs.sF","khs.dsssP","khs.ddssS","khs.sCl","khs.dssSe","Kier1","Kier2","fragC","FMF","ECCEN","SPC.4","SPC.5","SPC.6","VPC.4","VPC.5","VPC.6","SC.3","SC.4","SC.5","SC.6","VC.3","VC.4","VC.5","VC.6","SCH.6","SCH.7","VCH.6","VCH.7","C1SP2","C2SP2","C3SP2","C1SP3","C2SP3","C3SP3","ATSp1","ATSp2","ATSp3","ATSp4","ATSp5","ATSm1","ATSm2","ATSm3","ATSm4","ATSm5","nHBDon","nHBAcc","bpol","apol"
"Sb","0","0.333243534482759","0.294547522392301","0","0","0.233333333333333","0","0","0.0384615384615385","0","0.012987012987013","0","0","0.323957467862844","0.0175333955173211","0.136925716628493","0","0","0","0","0","0","0","0.04","5.55555555802469e-10","0","0.0356224882413661","0.38508793507396","0.11867476752085","0","0.153640128828606","0","0.00033388948224782","0.166944907901873","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.5","0","0.0384615384615385","0","0.000186105818662913","0","0.257055780060183","0","0","0","0","0","0","0.0840879890819221","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0757745076995489","0.0625570886701616","0.0364645290194643","0","0","0.378927922877148","0.863678754119809","0.280910240433815","0","0","0","0","0.124325330884556","0.0275288888924729"
"Co","0","0.262661637931035","0.000717070041683249","0","0","0.266666666666667","0","0","0","0","0","0","0","0.278624707101448","0.00178225991165395","0.087402123857809","0","0","0","0","0","0","0","0","0","0","0","0.309072796798754","0.0540862511565904","0","0","0","0.00033388948224782","0.166944907901873","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.333333333333333","0","0","0.0361930294906166","0","0","0.257055778752975","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0275471058433595","0.0179671006083751","0.00478916460254393","0","0","0.0873319803415245","0.177522376721595","0.0697963830459673","0","0","0","0","0.0838474627692062","0.00973243546703587"
"Ni","0","0.262661637931035","0","0","0","0.266666666666667","0","0","0","0","0","0","0","0.278624707101448","0.00178225991165395","0.087402123857809","0","0","0","0","0","0","0","0","0","0","0","0.309072796798754","0.0540862511565904","0","0","0","0.00033388948224782","0.166944907901873","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.333333333333333","0","0","0.0361930294906166","0","0","0.257055778752975","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0275471058433595","0.0179671006083751","0.00478916460254393","0","0","0.0866795623478332","0.176192049493244","0.0697963830459673","0","0","0","0","0.062218067593065","0"
"Zn","0","0","0.0952533073406267","0","0","0.166666666666667","0.217391304347826","0","0.0769230769230769","0","0.038961038961039","0","0","0","0.0433371093856858","0.0580977930150614","1","0","0","0","0","0","0.981375790244155","0.0933333333333333","0.555555556580247","0","0.0898634483826888","0.216487898347813","0.205323718871101","0.438315143590445","0.262649535037194","1","1","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0.245192307692308","0.0482573726541555","0.0022166861371434","0","0","0","0","0","0","0","0","0.291289338792372","0.436934008188558","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0863942210353721","0.0722964395382809","0.0832533606992731","0","0","0.0952361718123306","0.0111713921322639","0.0932250471318951","0","0","0","0.571428571428571","0.0491168339435166","0.0284743254806992"
"Hg","1","0.251795977011494","0.363216110577156","0","0","0.333333333333333","0","0","0","0","0.038961038961039","0","0","0.271968558332322","0","0.0826630704094859","0","0","0","0","0","0","0","0","0","0","0","0.309072796798754","0","0","0","0","0.00033388948224782","0.166944907901873","0","0","0","0","0","0","0","0","0","0","0","0.166666666666667","0","0","0","0","0","0","0","0","0","0","0","0","0.166666666666667","0","0","0.0361930294906166","0.00313063154364642","0","0.257055778752975","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.021076426299292","0.0133826508859713","0.00384173465161874","0","0","0.911857426641988","0.595439329133571","0","0","0","0","0","0.0853865641812365","0.00667893945317031"
"PFOA","0.875","0.688667385057471","0.850490341391378","0.5","0.333333333333333","0.0666666666666666","0.130434782608696","0.5","0.846153846153846","0","0.298701298701299","0","0","0.543442339827668","0.182892929688266","0.324591264710677","0.5","0","0","0","0","0","0.161502477566632","0.88","1.38222222283654e-07","0.869565217391304","0.800919322745317","0.636115243060356","0.88155672551482","0.229396736792354","0.941588733940187","0.420803249097473","0.000133555792899128","0.0741977368452769","0","0","0","0","0","0","0.974494675166498","0.830317942287979","0.166666666666667","0","0","0","0","0","0","1","0","0.875","1","0.5","0","0.882352941176471","0","0","0","0","0.846153846153846","0.26798927613941","0.00426385014243544","0","0.257055919495721","0.877371339965998","0.863695570319067","0.853080357594248","0.86447474625533","0.847644400581591","0.830772399917526","0.89076649795286","0.89076649795286","0.877371339965998","0.877371339965998","0.26872713242823","0.87106637941631","0.860596595971328","0.856418333024975","0","0","0","0","1","0","0","0.0833333333333333","0.5","0","0.377037243191086","0.445445987184166","0.628346512611323","0.693079616010933","0.577099882236483","0.112612199345962","0.227445584269217","0.880919947050453","0.87145888413197","0.852498932297804","1","0.285714285714286","0.22994177567663","0.18833365174618"
"PFNA","0.888888888888889","0.767780172413793","1","0.5","0.380952380952381","0.0333333333333334","0.130434782608696","0.571428571428571","0.961538461538462","0","0.337662337662338","0","0","0.589335225310169","0.236137825901424","0.36226480268202","0.5","0","0","0","0","0","0.144099198794594","1","1.88555555639358e-07","1","0.910330755474767","0.64149507627351","1","0.229397232211489","0.986219456560204","0.420803249097473","0.00033388948224782","0.166944907901873","0","0","0","0","0","0","1","1","0.166666666666667","0","0","0","0","0","0","1","0","1","1","0.5","0","1","0","0","0","0","0.961538461538462","0.308580016141451","0.00482032496655623","0","0.257055954354605","1","1","1","1","1","1","1","1","1","1","0.306663868916283","1","1","1","0","0","0","0","1","0","0","0.0833333333333333","0.583333333333333","0","0.437138807495382","0.519540344714247","0.738617148360122","0.827099780886688","0.709589185870508","0.132642111636694","0.274429969319884","1","1","1","1","0.285714285714286","0.267113436243627","0.228292251077982"
"PFHxS","1","0.56878591954023","0.808775101652918","0","0.285714285714286","0","0.130434782608696","0.428571428571429","0.769230769230769","0","0.272727272727273","0","0","0.484283833867008","0.123783838539251","0.324011795981812","0.5","0","0","0","0","0","0.281227498414601","0.813333333333333","1.09333333381926e-07","0.782608695652174","0.726191919987975","0.62504482295207","0.896922003989267","0.340908805833315","0.908618106128052","0.707919675090253","0.00033388948224782","0.166944907901873","0","0","0","0","0","0","0","0.664860934518371","0.5","0","0","0","0","0","0","0","0","0.75","1","1","0","0.764705882352941","0","1","0","0","0.769230769230769","0.226206434316354","0.00389532376884552","0","0.257055893787294","0.821612022227812","0.795522216865082","0.776992934713004","0.844241051675399","0.815686424758263","0.795742647129482","0.910279183726163","0.983101518424256","0.858400620238012","0.919714950255013","0.274660015406708","0.935688091793409","0.869213061264691","0.896837360940101","0","0","0","0","0","0","0","0.166666666666667","0.333333333333333","0","0.474787029889208","0.548969694194537","0.777351202154603","0.807567306100401","0.652787801016442","0.118944460246728","0.289637815821363","0.905199675451128","0.835594154624957","0.811344116895656","1","0.428571428571429","0.278020831239595","0.175375609095784"
"TnBP2","1","0.460129310344828","0.4087437552981","0.5","0.571428571428571","0.6","0.217391304347826","0.571428571428571","0.538461538461538","0","0.532467532467532","0","0","0.527282741623802","0.165681692419077","0.557534465476415","0","0","0","0","0","0","0.367490921057323","0.413333333333333","6.80000000302222e-08","0.260869565217391","0.539040781431971","0.764223184438179","0.256232134110865","0.559822942635691","0.787948605111581","0.615636281588448","0.00033388948224782","0.166944907901873","0.207758284840695","0.403807045785687","0","0.417376832233374","0","0","0","0","0","0.790569415042095","0.412891791733337","0.5","0.6","0","0","0","0","0","0","0.5","0.5","0","1","0","0","0","0.538461538461538","0.53083109919571","0.290218204465803","0","0.257055878972268","0.0704212332518177","0.0805070500134587","0.0503705502218677","0.12042601154947","0.16284847688446","0.152285579907854","0.134980085390569","0.154479500060574","0","0","0.0417655946969257","0.134609346939528","0","0","0","0","0","0","0","0","0","0.5","0.5","0","0.402475891914785","0.382381046976603","0.352457263009241","0.338449457526886","0.342399552850508","0.0347778845299292","0.152361228395107","0.308056921070479","0.198140431213228","0.227366356372153","0","0.571428571428571","0.594650179217306","0.483860695313275"
"TPhP","0","0.432381465517242","0.588035981758511","0","0.285714285714286","0.8","1","0.571428571428571","0.884615384615385","0","0.454545454545455","0","0","0.394421157777799","0.0545241412073453","0.816929848773189","0","1","1","1","1","1","0.299975068735681","0.733333333333333","1.33333333392593e-07","0.434782608695652","0.826105393623334","1","0.268102399029657","0.578728797442808","0.957057133986731","0.615636281588448","0.00033388948224782","0.166944907901873","0","0","0","1","0.848572868111037","0.152651533185478","0","0","0","0.790569415042095","0.412891791733337","0","0","1","0","0","0.5","0","0","0.5","0.5","0","1","0","0","0","0.569661538461538","0.411284426029734","0.201219085243835","1","0.257055945639884","0.114997392349646","0.177700957783521","0.141342493722216","0.239593126426651","0.36822331663602","0.350118944664482","0.22416886633482","0.154479500060574","0","0","0.0884375956113856","0.134609346939528","0","0","1","0.587708718668418","1","0.35002282984205","0","1","0","0","0","0","0.7619665489604","0.824268219042628","0.925041096293216","0.818693594871463","0.776697219014047","0.0547941581385373","0.253922975358079","0.501850960485055","0.329628838995921","0.395203477156336","0","0.571428571428571","0.391975268825959","0.519432524489623"
"TCPP","1","0.42645474137931","0.59188082585361","0","0.428571428571429","0.4","0.217391304347826","0.428571428571429","0.538461538461538","0","0.415584415584416","0","0","0.447184906505849","0.092190005187351","0.554830009055208","0","0","0","0","0","0","0.300039449883763","0.453333333333333","5.93333333597037e-08","0.304347826086957","0.528804892548882","0.712252339983311","0.428073163370504","0.552543544686126","0.787948605111581","0.615636281588448","0.00033388948224782","0.166944907901873","0.346263808067826","0.157377693039457","1","0.0232056280350576","0.21991927282467","0.152651533185478","0","0","0","0.790569415042095","0.412891791733337","0.5","0.2","0","1","0","0","0","0","0.5","0.5","0","1","0","0.5","0","0.538461538461538","0.370793893965093","0.162529343912497","0","0.257055859799881","0.121218417067718","0.1670329463404","0.121939435552357","0.472313360818909","0.562743816471665","0.527375437930022","0.261112069013452","0.154479500060574","0","0","0.156088182212062","0.134609346939528","0","0","0","0","0","0","0","0","0","0.5","0.25","0","0.503823714436447","0.502499171484564","0.526058982284693","0.500825080461277","0.546008664958151","0.111970142372424","0.218436306999231","0.427408388388937","0.356759157057366","0.423853264346727","0","0.571428571428571","0.462110452082323","0.417942395466309"
"EHDPHP","0.4","0.621587643678161","0.696015785020876","1","0.523809523809524","0.866666666666667","0.739130434782609","0.714285714285714","0.923076923076923","0","0.636363636363636","0","0","0.596280771851866","0.244758611043522","0.877953232515459","0","0.666666666666667","0.666666666666667","0.666666666666667","0.666666666666667","0.666666666666667","0.270079083866558","0.746666666666667","1.76888888967506e-07","0.463768115942029","0.884064820582681","0.923181311627196","0.266046049042522","0.57545363428888","0.971918771402922","0.615636281588448","0.00033388948224782","0.166944907901873","0.115421269355942","0.341018955188253","0.346412506442809","0.954904585548099","0.822332076570041","0.131551103432538","0","0","0","0.790569415042095","0.412891791733337","0.333333333333333","0.333333333333333","0.666666666666667","0.333333333333333","0","0.333333333333333","0","0","0.5","0.5","0","1","0","0","0","0.7039144287665","0.560543283185252","0.406672538520219","0.627272727272727","0.257055988777754","0.12431119879072","0.164958071868328","0.127732092662498","0.378796901575073","0.482244447407805","0.453887352351182","0.22416886633482","0.154479500060574","0","0","0.119552262887692","0.134609346939528","0","0","0.666666666666667","0.391805812445612","0.666666666666667","0.233348553228033","0","0.666666666666667","0","0.25","0.333333333333333","0.333333333333333","0.84118802196242","0.882584162646317","0.949465210115577","0.878651597752451","0.850048812075918","0.0614662493414066","0.265207613909521","0.497827683693526","0.332751736883139","0.406569539454118","0","0.571428571428571","0.594650179217306","0.679621682993082"
"TBOEP","1","0.408943965517241","0.803861860689964","0.5","1","0.7","0.217391304347826","1","0.884615384615385","0","0.805194805194805","0","0","0.490622578627508","0.129604052440253","0.824917316753103","0","0","0","0","0","0","0.370239963092411","0.653333333333333","2.46333333442815e-07","0.391304347826087","0.891817686878103","0.818735274205398","0.478551146085293","1","0.957057133986731","0.928023465703971","0.00033388948224782","0.166944907901873","0.129848928025435","0.430855657511521","0","0.822081903958928","0","0","0","0","0","1","1","0.5","1","0","0","0","0","0","0","0.5","1","0","1","0","0","0","0.884615384615385","1","0.634611628481192","0","0.25705603453004","0.0704212332518177","0.0805070500134587","0.0503705502218677","0.12042601154947","0.16284847688446","0.128607165580521","0.134980085390569","0.154479500060574","0","0","0.0417655946969257","0.134609346939528","0","0","0","0","0","0","0","0","0","1","0.5","0","0.644484093242809","0.614452764608766","0.553187888063018","0.526293913686699","0.524556249798456","0.0725532870012325","0.276408202924726","0.441231107243648","0.282103325270636","0.334282566979619","0","1","0.886129206374695","0.775382118704763"
"TDCIPP","1","0.518588362068966","0.900825805470997","0.5","0.571428571428571","0.3","0.217391304347826","0.428571428571429","0.653846153846154","0","0.415584415584416","0","0","0.535796637384591","0.17464987344423","0.666090426175845","0","0","0","0","0","0","0.228597305625763","0.533333333333333","9.13333333739259e-08","0.391304347826087","0.646884015689264","0.74577085614759","0.616160527130967","0.56271959614222","0.853066651240466","0.615636281588448","0.00033388948224782","0.166944907901873","0","0","0","0.144539844082402","0.439838545649341","0.152651533185478","0","0","0","0.790569415042095","0.412891791733337","0","0.4","0","1","0","0","0","0","0.5","0.5","0","1","0","1","0","0.653846153846154","0.507833445040214","0.142634447634245","0","0.257055879408004","0.132593107405956","0.172672008961383","0.135409502141441","0.528895980189079","0.742751523179814","0.614066736334874","0.22416886633482","0.154479500060574","0","0","0.122603871571671","0.134609346939528","0","0","0","0","0","0","0","0","0","0.5","0.25","0","0.721527281229271","0.730368502888376","0.766524576262258","0.786949412875073","0.840704989416195","0.199170537019223","0.318365301257678","0.534690025332806","0.50988899261266","0.840569378525245","0","0.571428571428571","0.430908180143013","0.481058921791025"
"TEHP","1","1","0.911975391545604","1","1","1","0.217391304347826","0.857142857142857","1","0","1","0","0","1","1","1","0","0","0","0","0","0","0.225192925095643","0.773333333333333","2.84000000126222e-07","0.521739130434783","1","0.801379568870926","0.261933349068253","0.568903307981026","1","0.615636281588448","0.00033388948224782","0.166944907901873","1","1","0.959691551833242","0.871457741186396","0.774705674829265","0.101767688790318","0","0","0","0.790569415042095","0.412891791733337","1","1","0","1","0","0","0","0","0.5","0.5","0","1","0","0","0","1","0.94520639000288","1","0","0.257056032351359","0.142938811672867","0.140327066629343","0.0962331610556097","0.657204451871918","0.71529632464005","0.646017746910393","0.22416886633482","0.154479500060574","0","0","0.181781597440305","0.134609346939528","0","0","0","0","0","0","0","0","0","0.75","1","1","1","1","1","1","1","0.0748104317471453","0.287776891012403","0.489781130110467","0.338997532657576","0.429301664049683","0","0.571428571428571","1","1"
